anime_id,name,genre,type,episodes,avg_rating,num_rating
32281,Kimi no Na wa.,"['drama', 'romance', 'school', 'supernatural']",movie,1,9.37,2199
5114,Fullmetal Alchemist: Brotherhood,"['action', 'adventure', 'drama', 'fantasy', 'magic', 'military', 'shounen']",tv,64,9.26,24574
28977,Gintama°,"['action', 'comedy', 'historical', 'parody', 'samurai', 'sci-fi', 'shounen']",tv,51,9.25,1386
9253,Steins;Gate,"['sci-fi', 'thriller']",tv,24,9.17,19283
9969,Gintama',"['action', 'comedy', 'historical', 'parody', 'samurai', 'sci-fi', 'shounen']",tv,51,9.16,3673
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"['comedy', 'drama', 'school', 'shounen', 'sports']",tv,10,9.15,1233
11061,Hunter x Hunter (2011),"['action', 'adventure', 'shounen', 'super power']",tv,148,9.13,8575
820,Ginga Eiyuu Densetsu,"['drama', 'military', 'sci-fi', 'space']",ova,110,9.11,903
15417,Gintama': Enchousen,"['action', 'comedy', 'historical', 'parody', 'samurai', 'sci-fi', 'shounen']",tv,13,9.11,2537
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"['action', 'comedy', 'historical', 'parody', 'samurai', 'sci-fi', 'shounen']",movie,1,9.1,2525
4181,Clannad: After Story,"['drama', 'fantasy', 'romance', 'slice of life', 'supernatural']",tv,24,9.06,17854
918,Gintama,"['action', 'comedy', 'historical', 'parody', 'samurai', 'sci-fi', 'shounen']",tv,201,9.04,4974
2904,Code Geass: Hangyaku no Lelouch R2,"['action', 'drama', 'mecha', 'military', 'sci-fi', 'super power']",tv,25,8.98,24242
199,Sen to Chihiro no Kamikakushi,"['adventure', 'drama', 'supernatural']",movie,1,8.93,22974
28891,Haikyuu!! Second Season,"['comedy', 'drama', 'school', 'shounen', 'sports']",tv,25,8.93,3975
23273,Shigatsu wa Kimi no Uso,"['drama', 'music', 'romance', 'school', 'shounen']",tv,22,8.92,9448
24701,Mushishi Zoku Shou 2nd Season,"['adventure', 'fantasy', 'historical', 'mystery', 'seinen', 'slice of life', 'supernatural']",tv,10,8.88,1712
12355,Ookami Kodomo no Ame to Yuki,"['fantasy', 'slice of life']",movie,1,8.84,7709
1575,Code Geass: Hangyaku no Lelouch,"['action', 'mecha', 'military', 'school', 'sci-fi', 'super power']",tv,25,8.83,27718
263,Hajime no Ippo,"['comedy', 'drama', 'shounen', 'sports']",tv,75,8.83,4935
